City,Population,Latitude,Longitude,Area,Population Density,Bounding Box
Vincennes,17997,38.6772691,-87.5286325,20.288697184835254,887.0456213152918,"[38.644594, 38.726496, -87.549189, -87.468697]"
Fairmount,2768,40.4156779,-85.6506501,4.160850596,665.2485918755591,"[40.403862, 40.4358065, -85.661428, -85.6353609]"
Bremen,4692,41.4464361,-86.1480581,6.3204035742521025,742.3576587916235,"[41.435548, 41.460625, -86.174688, -86.130283]"
Versailles,2113,39.0720026,-85.2519113,3.961948436697517,533.3234477330279,"[39.0453195, 39.076307, -85.272147, -85.242924]"
Crawfordsville,15150,40.0408627,-86.8997385,22.591641284591987,670.6020075811244,"[40.010205, 40.085648, -86.927799, -86.857387]"
Edgewood,2053,40.1033743,-85.7341437,2.1698490309106875,946.1487738335206,"[40.090719, 40.112596, -85.748925, -85.728345]"
Frankfort,16475,40.2797657,-86.5108244,16.721230946323093,985.2743528802682,"[40.260417, 40.300492, -86.57192, -86.472574]"
New Haven,13678,41.0733059,-85.0173125,28.893419613052583,473.3949869270916,"[41.0331444, 41.1144027, -85.0778431, -84.947812]"
Jasper,16781,38.3914228,-86.9308719,1488.2166837998104,11.275911755775828,"[40.7364954, 41.286343, -87.276554, -86.93]"
Greensburg,10538,39.3372722,-85.483581,14.329184294880523,735.4221833663607,"[39.314946, 39.362496, -85.518386, -85.460179]"
Paoli,3922,38.5561663,-86.468321,9.964510561389767,393.5968531356539,"[38.539247, 38.571466, -86.498728, -86.44524]"
Washington,11279,38.6592152,-87.172789,1367.3334292892002,8.248902395272614,"[38.417898, 38.783588, -86.310076, -85.847443]"
Connersville,14213,39.6411589,-85.1410748,20.990559304572777,677.1139250636218,"[39.625047, 39.715001, -85.177928, -85.111096]"
Anderson,57496,40.1053196,-85.6802541,109.08620142495332,527.0694116116492,"[40.0194345, 40.159155, -85.7631444, -85.6009898]"
Lawrence,49357,39.8386516,-86.0252612,1198.424688498431,41.18489920450652,"[38.686561, 38.992404, -86.684058, -86.275281]"
Bluffton,9897,40.7386579,-85.1716368,22.337126109371642,443.07400833662615,"[40.713262, 40.7933943, -85.213654, -85.146579]"
Brookville,2596,39.4231065,-85.0127376,4.6741688460789135,555.3928592412196,"[39.398346, 39.436126, -85.029525, -84.993709]"
Scottsburg,6747,38.685614,-85.7702451,13.052065284017278,516.9296853166942,"[38.657135, 38.717711, -85.809676, -85.7606132]"
Gary,68325,41.6020962,-87.3370646,134.53326853654076,507.86694431230706,"[41.52197, 41.6500588, -87.4331146, -87.2220507]"
Tipton,5203,40.2822598,-86.041098,687.0180597697484,7.573308919628352,"[40.215834, 40.4068594, -86.242917, -85.8621764]"
Linton,5786,39.0347666,-87.1658458,7.886307506843363,733.6766915288536,"[39.023604, 39.04596, -87.186105, -87.129173]"
Notre Dame,6646,41.6992003,-86.2373691,5.321526420564344,1248.8897873958497,"[41.6910575, 41.7161126, -86.2505792, -86.2168296]"
Walkerton,2096,41.4667113,-86.4830681,5.047996430665395,415.2142397065282,"[41.4510799, 41.4837414, -86.4984847, -86.4666669]"
Fishers,98977,39.9555928,-86.0138729,97.05358219,1019.8181021620567,"[39.9269563, 40.0010787, -86.076552, -85.8620984]"
Lebanon,15186,40.0483744,-86.4691677,22.33175665876974,680.0181567461428,"[40.02249, 40.08295, -86.50556, -86.439401]"
McCordsville,1289,39.8939648,-85.9219417,17.242919417262044,74.75532239103144,"[39.8561308, 39.9282092, -85.938106, -85.8951983]"
Boonville,6761,38.0493288,-87.2746568,7.906298439631056,855.1410058226311,"[38.026085, 38.062696, -87.329606, -87.238201]"
Lafayette,61244,40.4191229,-86.8919011,80.48197984495935,760.9653753297392,"[40.3556371, 40.4554837, -86.9260913, -86.779762]"
Dyer,16517,41.4942021,-87.5217068,16.248747476000663,1016.5091201272926,"[41.465739, 41.523141, -87.5256917, -87.487137]"
Auburn,12802,41.3669902,-85.0588632,20.70860059143602,618.1972530434639,"[41.342694, 41.397321, -85.0978015, -85.02205]"
Westville,5198,41.5463225,-86.8969236,7.9905279334048505,650.5202213572734,"[41.5184818, 41.570352, -86.923852, -86.888234]"
Bloomington,69247,39.1670396,-86.5342881,62.21750163943141,1112.9826523942827,"[39.1213291, 39.2213618, -86.5918944, -86.4711305]"
New Whiteland,5515,39.5558638,-86.0964369,3.8156440837117724,1445.365416429284,"[39.54943, 39.572126, -86.11587, -86.08363]"
Brownsburg,18850,39.8436954,-86.3970115,38.73516310903173,486.63794049197685,"[39.799835, 39.8793544, -86.43963, -86.32681]"
Speedway,12416,39.7881233,-86.2407144,12.576571979350655,987.2324525622486,"[39.765047, 39.8107631, -86.2754629, -86.225191]"
Winamac,2496,41.0514299,-86.6030648,3.7771892163428076,660.8088335105184,"[41.040927, 41.06962, -86.6134596, -86.591156]"
Vevay,1683,38.7478401,-85.0671725,4.423597713265408,380.4595510466625,"[38.7265064, 38.7561878, -85.1017212, -85.0539629]"
Plymouth,11025,41.3436555,-86.3097278,20.23695786708798,544.7953231,"[41.320519, 41.371354, -86.357616, -86.281763]"
Ligonier,4444,41.4638387,-85.5875346,6.182090758564037,718.8506564455943,"[41.450336, 41.481331, -85.61066, -85.578304]"
Wolcott,935,40.7580102,-87.0414236,1.571826368751265,594.8494175872678,"[40.75045, 40.770448, -87.04849, -87.035454]"
East Chicago,26370,41.6397857,-87.4548466,39.13595208259482,673.8049951,"[41.609944, 41.6904941, -87.4904786, -87.400946]"
New Albany,36963,38.2856247,-85.8241312,40.09367111520776,921.9160773227304,"[38.2577676, 38.371923, -85.864385, -85.782947]"
Merrillville,31896,41.4828144,-87.3328139,88.34300166546998,361.0472748116614,"[41.434524, 41.5226252, -87.3938539, -87.219556]"
Greenwood,63830,39.6136987,-86.1095429,73.84561731114957,864.3708635,"[39.548372, 39.6369326, -86.1670421, -86.0399985]"
Clinton,4923,39.6569817,-87.3980741,1073.256059100936,4.586976200371033,"[40.1769538, 40.4320658, -86.695686, -86.241982]"
Highland,22961,41.5536529,-87.4520484,6.066509612620477,3784.8782028191354,"[38.033689, 38.060956, -87.578408, -87.5424338]"
LaGrange,2979,41.6417165,-85.4166502,1018.802820707159,2.924020172944018,"[41.523347, 41.759982, -85.6598154, -85.1940326]"
Garrett,5752,41.3494927,-85.1355271,11.031369760483397,521.4221012339583,"[41.3228137, 41.373571, -85.147331, -85.097333]"
